Time Left,Score,Play Type,Player 1 Involved,Player 2 Involved,Player 3 involved,Play Result
03:59,,,Jose Alvarado,N/A,N/A, Jose Alvarado misses three point jump shot
03:57,,,Moses Wright,N/A,N/A, Moses Wright offensive rebound
03:48,,steal,Mark Williams,Moses Wright,N/A, Moses Wright turnover (lost ball) (Mark Williams steals)
03:38,,steal,DJ Steward,Jose Alvarado,N/A,DJ Steward turnover (lost ball) (Jose Alvarado steals) 
03:23,,turnover,Bubba Parham,N/A,N/A, Bubba Parham turnover (bad pass)
03:23,,timeout,N/A,N/A,N/A,TV timeout 
02:59,58-64,,Jordan Goldwire,N/A,N/A,Jordan Goldwire makes two point pullup jump shot 
02:32,,,Bubba Parham,N/A,N/A, Bubba Parham misses three point jump shot
02:30,,,Wendell Moore,N/A,N/A,Wendell Moore Jr. defensive rebound 
02:22,61-64,,Joey Baker,Jordan Goldwire,N/A,Joey Baker makes three point jump shot (Jordan Goldwire assists) 
01:49,,block,Mark Williams,Michael Devoe,N/A, Mark Williams blocks Michael Devoe's two point layup
01:47,,,Wendell Moore,N/A,N/A,Wendell Moore Jr. defensive rebound 
01:43,,,Joey Baker,Bubba Parham,N/A, Bubba Parham shooting foul (Joey Baker draws the foul)
01:43,62-64,,Joey Baker,N/A,N/A,Joey Baker makes regular free throw 1 of 3 
01:43,63-64,,Joey Baker,N/A,N/A,Joey Baker makes regular free throw 2 of 3 
01:43,64-64,,Joey Baker,N/A,N/A,Joey Baker makes regular free throw 3 of 3 
01:32,,timeout,N/A,N/A,N/A, Yellow Jackets 30 second timeout
01:23,,,Moses Wright,N/A,N/A, Moses Wright misses two point jump shot
01:21,,,Moses Wright,N/A,N/A, Moses Wright offensive rebound
01:12,,,Michael Devoe,N/A,N/A, Michael Devoe misses three point jump shot
01:10,,,Jose Alvarado,N/A,N/A, Jose Alvarado offensive rebound
01:05,,,Michael Devoe,N/A,N/A, Michael Devoe misses three point jump shot
01:03,,,Jordan Goldwire,N/A,N/A,Jordan Goldwire defensive rebound 
00:36,,,Wendell Moore,N/A,N/A,Wendell Moore Jr. misses three point jump shot 
00:34,,,Khalid Moore,N/A,N/A, Khalid Moore defensive rebound
00:24,,timeout,N/A,N/A,N/A, Yellow Jackets 30 second timeout
00:07,,,Jose Alvarado,N/A,N/A, Jose Alvarado misses three point jump shot
00:06,,,N/A,N/A,N/A,Blue Devils defensive rebound 
00:06,,timeout,N/A,N/A,N/A,Blue Devils 30 second timeout 
00:00,,,Jaemyn Brakefield,N/A,N/A,Jaemyn Brakefield misses three point jump shot 
00:00,,,N/A,N/A,N/A,Blue Devils offensive rebound 
00:00,,,N/A,N/A,N/A,End of 2nd Half. 
